"Permutation","Count"
"BSLightingShaderProperty|Default|SPF1=2151677952|SPF2=ZBuffer_Write","21145"
"BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=ZBuffer_Write","11553"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678593|SPF2=ZBuffer_Write","8982"
"BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=33","4321"
"BSLightingShaderProperty|Default|SPF1=2151677952|SPF2=33","4203"
"BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=129","3643"
"BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=161","2374"
"BSLightingShaderProperty|Default|SPF1=2151677960|SPF2=33","2124"
"BSEffectShaderProperty|Default|SPF1=ZBuffer_Test|SPF2=ZBuffer_Write","1973"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678593|SPF2=33","1884"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678593|SPF2=129","1829"
"BSEffectShaderProperty|Default|SPF1=ZBuffer_Test|SPF2=0","1499"
"BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=17","1431"
"BSLightingShaderProperty|Default|SPF1=2151678467|SPF2=129","1366"
"BSEffectShaderProperty|Default|SPF1=2348810240|SPF2=ZBuffer_Write","1309"
"BSLightingShaderProperty|SkinTint|SPF1=2153775619|SPF2=129","1205"
"BSEffectShaderProperty|Default|SPF1=ZBuffer_Test|SPF2=33","1125"
"BSLightingShaderProperty|GlowShader|SPF1=2151678467|SPF2=241","1088"
"BSLightingShaderProperty|FaceTint|SPF1=2151679491|SPF2=129","1076"
"BSEffectShaderProperty|Default|SPF1=2885681154|SPF2=1073741984","1046"
"BSLightingShaderProperty|Default|SPF1=2151678464|SPF2=ZBuffer_Write","1040"
"BSLightingShaderProperty|Default|SPF1=2353004546|SPF2=4194449","996"
"BSEffectShaderProperty|Default|SPF1=3221225506|SPF2=Transform_Changed","949"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678595|SPF2=129","823"
"BSLightingShaderProperty|Default|SPF1=2151678473|SPF2=161","793"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678609|SPF2=161","739"
"BSLightingShaderProperty|GlowShader|SPF1=2151940627|SPF2=240","699"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678595|SPF2=161","685"
"BSLightingShaderProperty|HairTint|SPF1=2353266707|SPF2=2097312","627"
"BSLightingShaderProperty|EnvironmentMap|SPF1=205521035|SPF2=161","621"
"BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=49","590"
"BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=536870961","564"
"BSLightingShaderProperty|Default|SPF1=2353004553|SPF2=169","532"
"BSLightingShaderProperty|Default|SPF1=2151677960|SPF2=ZBuffer_Write","485"
"BSLightingShaderProperty|HairTint|SPF1=2353266707|SPF2=2097313","483"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678593|SPF2=17","451"
"BSLightingShaderProperty|Default|SPF1=2151677961|SPF2=161","443"
"BSLightingShaderProperty|Default|SPF1=2151677953|SPF2=161","438"
"BSLightingShaderProperty|Default|SPF1=2353004553|SPF2=41","417"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2353005185|SPF2=9","399"
"BSLightingShaderProperty|GlowShader|SPF1=2151678465|SPF2=65","381"
"BSLightingShaderProperty|EnvironmentMap|SPF1=205521027|SPF2=161","376"
"BSLightingShaderProperty|Default|SPF1=2151678467|SPF2=ZBuffer_Write","369"
"BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=145","362"
"BSEffectShaderProperty|Default|SPF1=ZBuffer_Test|SPF2=Vertex_Colors","344"
"BSLightingShaderProperty|Default|SPF1=2151678720|SPF2=33","342"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678595|SPF2=ZBuffer_Write","330"
"BSLightingShaderProperty|Default|SPF1=2353005057|SPF2=ZBuffer_Write","329"
"BSLightingShaderProperty|Default|SPF1=2151678481|SPF2=ZBuffer_Write","315"
"BSLightingShaderProperty|Default|SPF1=2353005065|SPF2=41","306"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678593|SPF2=177","305"
"BSLightingShaderProperty|Default|SPF1=2151678721|SPF2=ZBuffer_Write","276"
"BSLightingShaderProperty|Default|SPF1=2151678473|SPF2=33","275"
"BSLightingShaderProperty|Default|SPF1=2151678467|SPF2=536870961","268"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678609|SPF2=ZBuffer_Write","267"
"BSLightingShaderProperty|Default|SPF1=2151677953|SPF2=129","240"
"BSLightingShaderProperty|Default|SPF1=2151678721|SPF2=33","239"
"BSLightingShaderProperty|Default|SPF1=2353004553|SPF2=134217897","228"
"BSEffectShaderProperty|Default|SPF1=3758096432|SPF2=1073741856","212"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2353005185|SPF2=137","204"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678593|SPF2=161","203"
"BSLightingShaderProperty|Default|SPF1=2151678464|SPF2=17","202"
"BSEffectShaderProperty|Default|SPF1=3758096384|SPF2=1073741856","199"
"BSLightingShaderProperty|Default|SPF1=2353005057|SPF2=33","196"
"BSLightingShaderProperty|Default|SPF1=2353004571|SPF2=160","190"
"BSEffectShaderProperty|Default|SPF1=3758096400|SPF2=1073741856","181"
"BSEffectShaderProperty|Default|SPF1=3758096448|SPF2=1073741872","179"
"BSLightingShaderProperty|Default|SPF1=2151678720|SPF2=ZBuffer_Write","177"
"BSEffectShaderProperty|Default|SPF1=2147483656|SPF2=33","177"
"BSLightingShaderProperty|Default|SPF1=2151678481|SPF2=161","176"
"BSLightingShaderProperty|Default|SPF1=2353004563|SPF2=2097312","175"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678595|SPF2=145","171"
"BSLightingShaderProperty|Default|SPF1=2353005065|SPF2=33","167"
"BSEffectShaderProperty|Default|SPF1=ZBuffer_Test|SPF2=17","166"
"BSLightingShaderProperty|Default|SPF1=2151678483|SPF2=2097329","165"
"BSLightingShaderProperty|Default|SPF1=2151678467|SPF2=145","162"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2353005185|SPF2=0","161"
"BSLightingShaderProperty|Default|SPF1=2353005057|SPF2=41","156"
"BSLightingShaderProperty|Default|SPF1=2353005057|SPF2=9","155"
"BSLightingShaderProperty|Default|SPF1=2353005056|SPF2=ZBuffer_Write","152"
"BSEffectShaderProperty|Default|SPF1=3758096488|SPF2=1073741856","148"
"BSLightingShaderProperty|Default|SPF1=2353004545|SPF2=9","141"
"BSLightingShaderProperty|Default|SPF1=2353004545|SPF2=41","135"
"BSLightingShaderProperty|Default|SPF1=2353004545|SPF2=169","129"
"BSEffectShaderProperty|Default|SPF1=ZBuffer_Test|SPF2=48","128"
"BSLightingShaderProperty|Default|SPF1=2353004563|SPF2=2097184","126"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678609|SPF2=17","124"
"BSLightingShaderProperty|Default|SPF1=2151677971|SPF2=177","120"
"BSEffectShaderProperty|Default|SPF1=2147483712|SPF2=Vertex_Colors","117"
"BSEffectShaderProperty|Default|SPF1=2147483664|SPF2=33","111"
"BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=177","109"
"BSEffectShaderProperty|Default|SPF1=2684354560|SPF2=1073741856","109"
"BSLightingShaderProperty|SkinTint|SPF1=2153775619|SPF2=ZBuffer_Write","107"
"BSEffectShaderProperty|Default|SPF1=2684354688|SPF2=1073741840","106"
"BSLightingShaderProperty|Default|SPF1=2151678464|SPF2=33","104"
"BSLightingShaderProperty|Default|SPF1=2353004545|SPF2=129","103"
"BSEffectShaderProperty|Default|SPF1=3221225520|SPF2=Vertex_Colors","103"
"BSLightingShaderProperty|Default|SPF1=2151678473|SPF2=49","102"
"BSLightingShaderProperty|HairTint|SPF1=2151678481|SPF2=ZBuffer_Write","101"
"BSLightingShaderProperty|Default|SPF1=2151678483|SPF2=48","101"
"BSLightingShaderProperty|Default|SPF1=2353004563|SPF2=160","100"
"BSEffectShaderProperty|Default|SPF1=3221225472|SPF2=Vertex_Colors","96"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678601|SPF2=33","93"
"BSEffectShaderProperty|Default|SPF1=ZBuffer_Test|SPF2=49","93"
"BSLightingShaderProperty|Default|SPF1=2151678467|SPF2=17","92"
"BSLightingShaderProperty|Default|SPF1=2353005057|SPF2=129","92"
"BSEffectShaderProperty|Default|SPF1=3758096456|SPF2=1073741872","91"
"BSLightingShaderProperty|Default|SPF1=2151678473|SPF2=ZBuffer_Write","88"
"BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=67108897","85"
"BSLightingShaderProperty|Default|SPF1=2353004563|SPF2=2097185","84"
"BSLightingShaderProperty|GlowShader|SPF1=2151678465|SPF2=97","83"
"BSEffectShaderProperty|Default|SPF1=2684354608|SPF2=1073741856","82"
"BSLightingShaderProperty|HairTint|SPF1=2353266691|SPF2=2097313","81"
"BSLightingShaderProperty|Default|SPF1=2353004563|SPF2=Transform_Changed","80"
"BSLightingShaderProperty|Default|SPF1=2151677953|SPF2=33","80"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678595|SPF2=33","79"
"BSLightingShaderProperty|Default|SPF1=2152202753|SPF2=ZBuffer_Write","79"
"BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=536871089","77"
"BSEffectShaderProperty|Default|SPF1=2348810240|SPF2=33","77"
"BSEffectShaderProperty|Default|SPF1=2348810272|SPF2=40","77"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678849|SPF2=ZBuffer_Write","76"
"BSLightingShaderProperty|Default|SPF1=2353004553|SPF2=134217761","75"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678593|SPF2=49","75"
"BSEffectShaderProperty|Default|SPF1=2684354608|SPF2=1073741872","75"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2353005185|SPF2=169","73"
"BSLightingShaderProperty|Default|SPF1=2353004544|SPF2=9","72"
"BSLightingShaderProperty|Default|SPF1=2353004544|SPF2=41","70"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678609|SPF2=33","70"
"BSLightingShaderProperty|FaceTint|SPF1=2151679491|SPF2=33","69"
"BSLightingShaderProperty|Default|SPF1=2151678467|SPF2=161","67"
"BSEffectShaderProperty|Default|SPF1=2684354560|SPF2=1073741840","66"
"BSEffectShaderProperty|Default|SPF1=3221225488|SPF2=Double_Sided","64"
"BSEffectShaderProperty|Default|SPF1=2684354752|SPF2=1073741840","64"
"BSLightingShaderProperty|Default|SPF1=2151678728|SPF2=33","63"
"BSLightingShaderProperty|Default|SPF1=2151678464|SPF2=145","63"
"BSEffectShaderProperty|Default|SPF1=3758096464|SPF2=1073741872","61"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678593|SPF2=145","61"
"BSEffectShaderProperty|Default|SPF1=3221225536|SPF2=48","60"
"BSLightingShaderProperty|Default|SPF1=2151678467|SPF2=33","58"
"BSEffectShaderProperty|Default|SPF1=2147483664|SPF2=Vertex_Colors","58"
"BSLightingShaderProperty|Default|SPF1=2353004563|SPF2=2097313","57"
"BSEffectShaderProperty|Default|SPF1=2684354576|SPF2=1073741856","56"
"BSEffectShaderProperty|Default|SPF1=2684354736|SPF2=1073741872","55"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678081|SPF2=ZBuffer_Write","54"
"BSLightingShaderProperty|FaceTint|SPF1=2151679491|SPF2=ZBuffer_Write","54"
"BSLightingShaderProperty|Default|SPF1=2353005065|SPF2=67108905","53"
"BSEffectShaderProperty|Default|SPF1=3221225488|SPF2=Vertex_Colors","53"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678849|SPF2=33","52"
"BSEffectShaderProperty|Default|SPF1=2684354752|SPF2=Effect_Lighting","51"
"BSEffectShaderProperty|Default|SPF1=3221225504|SPF2=Vertex_Colors","51"
"BSLightingShaderProperty|Default|SPF1=2151678473|SPF2=177","50"
"BSLightingShaderProperty|Default|SPF1=2151682571|SPF2=100663329","49"
"BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=67108881","49"
"BSLightingShaderProperty|Default|SPF1=2151677953|SPF2=ZBuffer_Write","49"
"BSLightingShaderProperty|HairTint|SPF1=2353266707|SPF2=2097280","49"
"BSLightingShaderProperty|Default|SPF1=2353004545|SPF2=ZBuffer_Write","49"
"BSLightingShaderProperty|Default|SPF1=2353004545|SPF2=161","48"
"BSEffectShaderProperty|Default|SPF1=2684354752|SPF2=1073741872","47"
"BSLightingShaderProperty|Default|SPF1=2353005057|SPF2=57","47"
"BSEffectShaderProperty|Default|SPF1=2147483776|SPF2=33","46"
"BSLightingShaderProperty|Default|SPF1=2151678467|SPF2=49","45"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678593|SPF2=67108897","44"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678595|SPF2=17","44"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678081|SPF2=33","44"
"BSLightingShaderProperty|Default|SPF1=2151678473|SPF2=536870961","43"
"BSEffectShaderProperty|Default|SPF1=2147483776|SPF2=Vertex_Colors","43"
"BSEffectShaderProperty|Default|SPF1=2684354688|SPF2=1073741856","43"
"BSLightingShaderProperty|GlowShader|SPF1=2151678467|SPF2=193","43"
"BSLightingShaderProperty|Default|SPF1=2353005065|SPF2=169","42"
"BSEffectShaderProperty|Default|SPF1=2147483664|SPF2=48","41"
"BSLightingShaderProperty|Default|SPF1=2151678464|SPF2=129","41"
"BSLightingShaderProperty|Default|SPF1=2353004545|SPF2=33","41"
"BSEffectShaderProperty|Default|SPF1=3758096416|SPF2=1073741856","41"
"BSLightingShaderProperty|Default|SPF1=2353005056|SPF2=33","41"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678609|SPF2=49","40"
"BSLightingShaderProperty|Default|SPF1=2151678481|SPF2=33","39"
"BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=9","39"
"BSEffectShaderProperty|Default|SPF1=2147483840|SPF2=Vertex_Colors","39"
"BSLightingShaderProperty|Default|SPF1=2353005057|SPF2=137","39"
"BSLightingShaderProperty|Default|SPF1=2151677971|SPF2=49","38"
"BSLightingShaderProperty|Default|SPF1=2353004553|SPF2=134217769","38"
"BSLightingShaderProperty|Default|SPF1=2353004563|SPF2=Vertex_Colors","38"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678601|SPF2=177","38"
"BSLightingShaderProperty|Default|SPF1=2353005057|SPF2=169","37"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678611|SPF2=129","37"
"BSLightingShaderProperty|GlowShader|SPF1=2151678465|SPF2=113","37"
"BSEffectShaderProperty|Default|SPF1=2684354624|SPF2=1073741872","37"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2353005185|SPF2=41","37"
"BSEffectShaderProperty|Default|SPF1=2684354560|SPF2=Effect_Lighting","36"
"BSLightingShaderProperty|Default|SPF1=2353004571|SPF2=Vertex_Colors","36"
"BSEffectShaderProperty|Default|SPF1=3221225552|SPF2=48","35"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678611|SPF2=17","35"
"BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=67108865","35"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678611|SPF2=33","35"
"BSEffectShaderProperty|Default|SPF1=3221225584|SPF2=Vertex_Colors","35"
"BSEffectShaderProperty|Default|SPF1=ZBuffer_Test|SPF2=Double_Sided","34"
"BSEffectShaderProperty|Default|SPF1=2147483656|SPF2=Vertex_Colors","34"
"BSLightingShaderProperty|Default|SPF1=2151678467|SPF2=177","33"
"BSLightingShaderProperty|GlowShader|SPF1=2151678465|SPF2=81","33"
"BSLightingShaderProperty|Default|SPF1=2353005056|SPF2=41","33"
"BSLightingShaderProperty|Default|SPF1=2151678483|SPF2=2097201","32"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2353005185|SPF2=145","32"
"BSEffectShaderProperty|Default|SPF1=2147483712|SPF2=ZBuffer_Write","32"
"BSLightingShaderProperty|Default|SPF1=2353005065|SPF2=49","32"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2353005185|SPF2=Vertex_Colors","32"
"BSLightingShaderProperty|GlowShader|SPF1=2688549385|SPF2=113","32"
"BSEffectShaderProperty|Default|SPF1=2684354560|SPF2=1073741872","31"
"BSLightingShaderProperty|Default|SPF1=2353004553|SPF2=33","31"
"BSEffectShaderProperty|Default|SPF1=2684354592|SPF2=1073741856","31"
"BSLightingShaderProperty|Default|SPF1=2151678729|SPF2=33","30"
"BSLightingShaderProperty|GlowShader|SPF1=2151940627|SPF2=208","30"
"BSLightingShaderProperty|Default|SPF1=2152202753|SPF2=536870961","29"
"BSEffectShaderProperty|Default|SPF1=2348810272|SPF2=168","29"
"BSLightingShaderProperty|Default|SPF1=2353005057|SPF2=177","26"
"BSEffectShaderProperty|Default|SPF1=2147549184|SPF2=Vertex_Colors","26"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2353005185|SPF2=ZBuffer_Write","26"
"BSEffectShaderProperty|Default|SPF1=2147483840|SPF2=ZBuffer_Write","25"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678595|SPF2=177","25"
"BSEffectShaderProperty|Default|SPF1=2147483696|SPF2=48","25"
"BSEffectShaderProperty|Default|SPF1=2147483840|SPF2=33","25"
"BSLightingShaderProperty|Default|SPF1=2353005312|SPF2=41","24"
"BSEffectShaderProperty|Default|SPF1=3758096456|SPF2=1073741856","24"
"BSLightingShaderProperty|Default|SPF1=2353004547|SPF2=57","24"
"BSEffectShaderProperty|Default|SPF1=3758096448|SPF2=1073741856","24"
"BSEffectShaderProperty|Default|SPF1=3758096472|SPF2=1073741872","24"
"BSLightingShaderProperty|SkinTint|SPF1=2153775617|SPF2=33","24"
"BSLightingShaderProperty|Default|SPF1=2152202753|SPF2=17","24"
"BSLightingShaderProperty|GlowShader|SPF1=2889875968|SPF2=120","22"
"BSLightingShaderProperty|FaceTint|SPF1=2151679489|SPF2=ZBuffer_Write","22"
"BSEffectShaderProperty|Default|SPF1=2684354688|SPF2=1073741872","22"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2353004673|SPF2=9","22"
"BSEffectShaderProperty|Default|SPF1=2147483728|SPF2=48","21"
"BSLightingShaderProperty|Default|SPF1=2688549377|SPF2=ZBuffer_Write","21"
"BSLightingShaderProperty|GlowShader|SPF1=2151678465|SPF2=225","21"
"BSLightingShaderProperty|GlowShader|SPF1=2688549377|SPF2=65","21"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678593|SPF2=67108865","20"
"BSLightingShaderProperty|Default|SPF1=2151677960|SPF2=161","20"
"BSLightingShaderProperty|Default|SPF1=2353005065|SPF2=57","20"
"BSLightingShaderProperty|Default|SPF1=2353005056|SPF2=9","20"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2152202881|SPF2=ZBuffer_Write","20"
"BSEffectShaderProperty|Default|SPF1=2147483696|SPF2=Vertex_Colors","20"
"BSEffectShaderProperty|Default|SPF1=3758096464|SPF2=1073741856","19"
"BSEffectShaderProperty|Default|SPF1=2684354624|SPF2=1073741856","19"
"BSLightingShaderProperty|Default|SPF1=2151678464|SPF2=536870961","19"
"BSLightingShaderProperty|Default|SPF1=2151677954|SPF2=ZBuffer_Write","19"
"BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=25","19"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2353005185|SPF2=129","19"
"BSLightingShaderProperty|HairTint|SPF1=2151678489|SPF2=ZBuffer_Write","19"
"BSLightingShaderProperty|EnvironmentMap|SPF1=2151678593|SPF2=2097153","19"
"BSEffectShaderProperty|Default|SPF1=2147483712|SPF2=48","18"
"BSLightingShaderProperty|Default|SPF1=2151678472|SPF2=33","18"
"BSLightingShaderProperty|Default|SPF1=2151677961|SPF2=33","18"
"BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=67108913","18"
