Permutation,BlockType,ShaderType,SPF1,SPF2,Occurrences,UniqueNifs,UniqueMaterials,ExampleNifs,TopMaterials,SummaryCount,Delta_MapMinusSummary,SPF1_int,SPF2_int,SPF1_flags,SPF2_flags,Meshes_total,Meshes_unique,trees,architecture,actors,decals,other,DominantClass
BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=33,BSLightingShaderProperty,Default,2151678465,33,4321,2043,0,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\AnimObjects\AnimObjectBook.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\AnimObjects\AnimObjectPsycho.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\AnimObjects\AnimObjectStealthBoyElectrode.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\AnimObjects\AnimObjectStealthBoyLid.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\AnimObjects\AnimObjInstiDriver01.nif,,4321,0,2151678465,33,"Specular, Cast_Shadows, Own_Emit, ZBuffer_Test","ZBuffer_Write, Vertex_Colors",4321,2043,26,3552,34,124,585,architecture
BSLightingShaderProperty|Default|SPF1=2151677952|SPF2=33,BSLightingShaderProperty,Default,2151677952,33,4203,2295,0,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\marker_soundtint.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Landscape\CoastMossCar02.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Landscape\CoastMossTire01.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Landscape\ShadowOccluder.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Architecture\Buildings\BldgBrick2Story1x2ComA.nif,,4203,0,2151677952,33,"Own_Emit, ZBuffer_Test","ZBuffer_Write, Vertex_Colors",4203,2295,0,4063,8,2,130,architecture
BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=129,BSLightingShaderProperty,Default,2151678465,129,3643,1963,0,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Pipboy\CharacterAssets\PipboyLowPlayer.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM00017F6D.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM000192C8.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM000192CB.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM00019570.NIF,,3643,0,2151678465,129,"Specular, Cast_Shadows, Own_Emit, ZBuffer_Test","ZBuffer_Write, Transform_Changed",3643,1963,0,0,0,0,3643,other
BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=161,BSLightingShaderProperty,Default,2151678465,161,2374,1403,0,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM00017F6D.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM000192CB.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM00019570.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM0001C169.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM0001E4EB.NIF,,2374,0,2151678465,161,"Specular, Cast_Shadows, Own_Emit, ZBuffer_Test","ZBuffer_Write, Vertex_Colors, Transform_Changed",2374,1403,0,0,0,0,2374,other
BSLightingShaderProperty|Default|SPF1=2151677960|SPF2=33,BSLightingShaderProperty,Default,2151677960,33,2124,1189,0,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\marker_creature.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Landscape\CoastMossCar01.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Architecture\Buildings\BldgAddOncWindowC01.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Architecture\ExtSewer\ExtSewerWall01.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Architecture\ExtSewer\ExtSewerWall01Rock01.nif,,2124,0,2151677960,33,"Vertex_Alpha, Own_Emit, ZBuffer_Test","ZBuffer_Write, Vertex_Colors",2124,1189,1,2114,0,0,9,architecture
BSLightingShaderProperty|EnvironmentMap|SPF1=2151678593|SPF2=33,BSLightingShaderProperty,EnvironmentMap,2151678593,33,1884,957,0,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\AnimObjects\AnimObjectKellogGun.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\AnimObjects\AnimObjectKellogGunNoFX.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\AnimObjects\AnimObjectMrHandyStimpak.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\AnimObjects\AnimObjectPerkCannibalFeedBlood_LHand.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\AnimObjects\AnimObjectPerkCannibalFeedBlood_RHand.nif,,1884,0,2151678593,33,"Specular, Environment_Mapping, Cast_Shadows, Own_Emit, ZBuffer_Test","ZBuffer_Write, Vertex_Colors",1884,957,0,1123,125,44,592,architecture
BSLightingShaderProperty|EnvironmentMap|SPF1=2151678593|SPF2=129,BSLightingShaderProperty,EnvironmentMap,2151678593,129,1829,549,0,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Pipboy\CharacterAssets\PipboyDusty.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Pipboy\CharacterAssets\PipboyLowPlayer.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM00017F6D.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM000192C8.NIF; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\SCOL\Fallout4.esm\CM000192CB.NIF,,1829,0,2151678593,129,"Specular, Environment_Mapping, Cast_Shadows, Own_Emit, ZBuffer_Test","ZBuffer_Write, Transform_Changed",1829,549,0,0,0,0,1829,other
BSLightingShaderProperty|Default|SPF1=2151678465|SPF2=17,BSLightingShaderProperty,Default,2151678465,17,1431,1121,0,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\AnimObjects\AnimObjectBostonBugle.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\AnimObjects\AnimObjectGiverFolder.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\AnimObjects\AnimObjectHandFolder.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\AnimObjects\AnimObjectMutFruit.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\AnimObjects\AnimObjectPaper.nif,,1431,0,2151678465,17,"Specular, Cast_Shadows, Own_Emit, ZBuffer_Test","ZBuffer_Write, Double_Sided",1431,1121,115,878,15,33,390,architecture
BSLightingShaderProperty|Default|SPF1=2151678467|SPF2=129,BSLightingShaderProperty,Default,2151678467,129,1366,1321,0,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\SuperMutantBehemoth\SuperMutantBehemothSwan.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Synths\ValentineHat.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Armor\ArmyFatigues\ArmyHelmet.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Armor\ArmyFatigues\ArmyHelmetF.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Armor\ArmyFatigues\FatiguesF.nif,,1366,0,2151678467,129,"Specular, Skinned, Cast_Shadows, Own_Emit, ZBuffer_Test","ZBuffer_Write, Transform_Changed",1366,1321,0,0,1102,0,264,actors
BSLightingShaderProperty|SkinTint|SPF1=2153775619|SPF2=129,BSLightingShaderProperty,SkinTint,2153775619,129,1205,1198,0,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\SuperMutantBehemoth\SuperMutantBehemothSwan.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Armor\ArmoredCoat\GlovesF.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Armor\ArmoredCoat\GlovesM.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Armor\ArmoredCoat\OutfitM.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Armor\ArmyFatigues\FatiguesM.nif,,1205,0,2153775619,129,"Specular, Skinned, Cast_Shadows, Skin_Tint, Own_Emit, ZBuffer_Test","ZBuffer_Write, Transform_Changed",1205,1198,0,0,1056,0,149,actors
BSLightingShaderProperty|GlowShader|SPF1=2151678467|SPF2=241,BSLightingShaderProperty,GlowShader,2151678467,241,1088,1051,0,C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Effects\CritSkeletonFemale.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Effects\CritSkeletonWithMeat.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Effects\TeleportManSkeletonSkin.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Deathclaw\Deathclaw.nif; C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Meshes\Actors\Deathclaw\DeathclawChameleon.nif,,1088,0,2151678467,241,"Specular, Skinned, Cast_Shadows, Own_Emit, ZBuffer_Test","ZBuffer_Write, Double_Sided, Vertex_Colors, Glow_Map, Transform_Changed",1088,1051,0,0,1085,3,0,actors
